Genome	clinical/environmental	human/animal/etc	Additional tags			
Actinobacillus pleuropneumoniae	clinical	animal				
Bordetella bronchiseptica	clinical	animal				
Bordetella hinzii	clinical	animal				
Corynebacterium pseudotuberculosis	clinical	animal				
Coxiella burnetii	clinical	animal				
Erysipelothrix rhusiopathiae	clinical	animal				
Leptospira interrogans	clinical	animal				
Mannheimia haemolytica	clinical	animal				
Mycoplasma capricolum	clinical	animal				
Mycoplasma gallisepticum	clinical	animal	bird			
Mycoplasma mycoides	clinical	animal	ruminants			
Aeromonas salmonicida	clinical	animal	fish			
Aeromonas veronii	clinical	animal	fish			
Avibacterium paragallinarum	clinical	animal	poultry			
Bartonella krasnovii	clinical	animal				
Bifidobacterium breve	clinical	animal	industrial	probiotic		
Brucella suis	clinical	animal				
Burkholderia mallei	clinical	animal	human			
Chlamydia muridarum	clinical	animal				
Ehrlichia ruminantium	clinical	animal	human	livestock		
Flavobacterium columnare	clinical	animal	fish			
Flavobacterium psychrophilum	clinical	animal	fish			
Glaesserella parasuis	clinical	animal	swine			
Histophilus somni	clinical	animal	cattle			
Lactococcus garvieae	clinical	animal	fish			
Mycoplasmopsis bovis	clinical	animal	cow			
Mycoplasmopsis synoviae	clinical	animal	chicken			
Photobacterium damselae	clinical	animal	fish			
Piscirickettsia salmonis	clinical	animal	fish			
Rhodococcus equi	clinical	animal	live stock			
Riemerella anatipestifer	clinical	animal	duck			
Vibrio anguillarum	clinical	animal	fish			
Vibrio campbellii	clinical	animal	fish			
Providencia stuartii	clinical	environmental	opportunistic pathogen	industrial	restriction endonuclease	
Pseudomonas stutzeri	clinical	environmental				
Francisella orientalis	clinical	fish				
Acinetobacter baumannii	clinical	human				
Acinetobacter haemolyticus	clinical	human				
Acinetobacter johnsonii	clinical	human				
Acinetobacter junii	clinical	human				
Acinetobacter nosocomialis	clinical	human				
Acinetobacter pittii	clinical	human				
Acinetobacter seifertii	clinical	human				
Acinetobacter sp.	clinical	human				
Akkermansia muciniphila	clinical	human				
Bacillus anthracis	clinical	human				
Bacillus cytotoxicus	clinical	human				
Bacteroides fragilis	clinical	human				
Bartonella henselae	clinical	human				
Bordetella holmesii	clinical	human				
Bordetella parapertussis	clinical	human				
Bordetella pertussis	clinical	human				
Borrelia miyamotoi	clinical	human				
Borreliella burgdorferi	clinical	human				
Brucella melitensis	clinical	human				
Campylobacter coli	clinical	human				
Campylobacter fetus	clinical	human				
Campylobacter jejuni	clinical	human				
Campylobacter lari	clinical	human				
Campylobacter sp.	clinical	human				
Chlamydia abortus	clinical	human				
Chlamydia pneumoniae	clinical	human				
Chlamydia psittaci	clinical	human				
Chlamydia trachomatis	clinical	human				
Chryseobacterium indologenes	clinical	human				
Citrobacter amalonaticus	clinical	human				
Citrobacter freundii	clinical	human	environmental			
Citrobacter koseri	clinical	human				
Citrobacter sp.	clinical	human	environmental			
Clostridioides difficile	clinical	human				
Clostridium botulinum	clinical	human				
Clostridium butyricum	clinical	human				
Clostridium perfringens	clinical	human				
Corynebacterium diphtheriae	clinical	human				
Corynebacterium ulcerans	clinical	human	animal			
Cronobacter sakazakii	clinical	human				
Cutibacterium acnes	clinical	human				
Dolosigranulum pigrum	clinical	human				
Eggerthella lenta	clinical	human				
Enterobacter asburiae	clinical	human	environmental			
Enterobacter cloacae	clinical	human				
Enterobacter kobei	clinical	human				
Enterobacter ludwigii	clinical	human				
Enterobacter roggenkampii	clinical	human				
Enterobacter sp.	clinical	human				
Enterococcus faecalis	clinical	human				
Enterococcus faecium	clinical	human				
Enterococcus hirae	clinical	human	animal			
Escherichia albertii	clinical	human				
Escherichia coli	clinical	human				
Faecalibacterium prausnitzii	clinical	human				
Francisella tularensis	clinical	human				
Fusobacterium nucleatum	clinical	human				
Granulibacter bethesdensis	clinical	human				
Haemophilus ducreyi	clinical	human				
Haemophilus influenzae	clinical	human				
Haemophilus parainfluenzae	clinical	human				
Helicobacter cinaedi	clinical	human	animal			
Helicobacter pylori	clinical	human				
Klebsiella aerogenes	clinical	human	environmental			
Klebsiella grimontii	clinical	human				
Klebsiella michiganensis	clinical	human				
Klebsiella oxytoca	clinical	human				
Klebsiella pneumoniae	clinical	human				
Klebsiella quasipneumoniae	clinical	human				
Klebsiella sp.	clinical	human				
Leclercia adecarboxylata	clinical	human				
Legionella pneumophila	clinical	human				
Leptospira noguchii	clinical	human				
Leuconostoc mesenteroides	clinical	human	environmental			
Listeria innocua	clinical	human	environmental			
Listeria monocytogenes	clinical	human				
Massilia sp.	clinical	human				
Metamycoplasma hominis	clinical	human				
Moraxella catarrhalis	clinical	human				
Moraxella osloensis	clinical	human				
Morganella morganii	clinical	human	animal			
Mycobacterium avium	clinical	human				
Mycobacterium tuberculosis	clinical	human				
Mycobacteroides abscessus	clinical	human	environmental			
Mycolicibacterium smegmatis	clinical	human				
Mycoplasma pneumoniae	clinical	human				
Neisseria gonorrhoeae	clinical	human				
Neisseria meningitidis	clinical	human				
Parabacteroides distasonis	clinical	human				
Pasteurella multocida	clinical	human				
Porphyromonas gingivalis	clinical	human				
Prevotella intermedia	clinical	human				
Prevotella melaninogenica	clinical	human				
Prevotella sp.	clinical	human				
Proteus mirabilis	clinical	human	environmental			
Proteus terrae	clinical	human				
Proteus vulgaris	clinical	human				
Pseudomonas aeruginosa	clinical	human				
Psychrobacter sp.	clinical	human	environmental			
Raoultella ornithinolytica	clinical	human	environmental			
Salmonella bongori	clinical	human	environmental			
Salmonella enterica	clinical	human	environmental			
Salmonella sp.	clinical	human	environmental			
Serratia marcescens	clinical	human	environmental			
Serratia plymuthica	clinical	human	environmental			
Serratia sp.	clinical	human	environmental			
Shigella boydii	clinical	human				
Shigella dysenteriae	clinical	human				
Shigella flexneri	clinical	human				
Staphylococcus argenteus	clinical	human				
Staphylococcus aureus	clinical	human				
Staphylococcus epidermidis	clinical	human				
Staphylococcus haemolyticus	clinical	human				
Staphylococcus lugdunensis	clinical	human				
Staphylococcus pseudintermedius	clinical	human				
Staphylococcus saprophyticus	clinical	human				
Staphylococcus sp.	clinical	human				
Staphylococcus warneri	clinical	human				
Streptococcus agalactiae	clinical	human				
Streptococcus anginosus	clinical	human				
Streptococcus dysgalactiae	clinical	human				
Streptococcus gordonii	clinical	human				
